s.Control	s.Blood_D64	s.Faeces_D64	s.Pig_D64	s.Urine_D64	index	stat	p.value
X459	0	1	0	0	0	2	0.912802609385645	6e-04
X462	0	1	0	0	0	2	0.614179837565442	0.0531
X466	1	0	1	0	0	7	0.568655794677562	0.1091
X469	0	1	0	0	0	2	0.809404610457305	0.005
X478	1	1	0	0	1	18	0.501069533451206	0.2452
X484	1	0	0	0	0	1	0.734698199350365	0.0099
X485	1	0	0	0	0	1	0.744939664313094	0.0071
X495	0	1	0	0	1	12	0.71389831152215	0.0193
X496	1	0	0	0	1	9	0.633188697721957	0.0491
X497	0	0	0	0	1	5	0.917200427050679	9e-04
X503	1	0	1	0	0	7	0.708228309120941	0.0166
X504	1	0	0	0	0	1	0.642723141219938	0.044
X512	1	0	0	0	0	1	0.70582263238562	0.0199
X513	0	0	1	0	0	3	0.639992229851264	0.0478
X515	1	0	1	0	0	7	0.717944774020493	0.0133
X521	0	1	0	0	0	2	0.970961528525485	8e-04
X523	1	0	0	0	1	9	0.554139181833572	0.1445
X527	0	1	0	0	1	12	0.700869917832997	0.0185
X529	1	0	0	0	1	9	0.748220736805882	0.003
X534	0	1	0	0	0	2	0.857287033658713	0.0031
X545	0	1	0	0	1	12	0.807482171456084	0.0029
X546	0	1	0	0	1	12	0.894745254212545	0.0021
X548	0	1	0	0	1	12	0.355716856866761	0.6443
X551	1	0	1	0	0	7	0.774729354718893	0.0056
X552	1	0	0	0	0	1	0.573004848684314	0.1137
X553	1	1	0	0	0	6	0.530019056226255	0.1853
X554	1	0	1	0	0	7	0.640049939837137	0.0505
X558	1	0	1	0	0	7	0.642051343906868	0.0451
X563	0	1	0	0	0	2	0.69361246728116	0.0119
X566	0	0	0	0	1	5	0.596201290212882	0.0736
X567	1	1	0	0	1	18	0.558249927720595	0.1325
X569	1	0	0	0	0	1	0.613132878227453	0.076
X572	0	0	0	1	1	15	0.635249273243703	0.0421
X573	1	1	1	0	0	16	0.641704978080752	0.0459
X578	0	1	1	0	0	10	0.555342640710383	0.1202
X582	0	1	0	0	1	12	0.513786281883529	0.1665
X587	1	0	0	0	0	1	0.666160490697565	0.0352
X588	1	0	0	0	0	1	0.625911984465501	0.0617
X589	1	0	0	0	0	1	0.60406525702138	0.0777
X594	1	1	1	0	0	16	0.483637917565711	0.2732
X597	0	1	0	0	0	2	0.987255233564013	8e-04
X598	0	1	0	0	1	12	0.96984855833576	1e-04
X600	1	0	0	0	0	1	0.73812122721952	0.0095
X602	1	0	0	0	0	1	0.767323300003963	0.0037
X609	0	1	0	0	1	12	0.837495121945937	0.0045
X610	0	1	0	0	1	12	0.762709681773665	0.0102
X615	0	0	0	0	1	5	0.704826344914474	0.0079
X619	1	0	1	0	0	7	0.679535627252155	0.0275
X620	1	0	1	0	0	7	0.671800855471678	0.0287
X625	0	1	0	0	0	2	0.96420076716538	7e-04
X635	1	0	0	0	0	1	0.475504738097178	0.2426
X637	1	0	1	0	0	7	0.580086531758179	0.1014
X639	0	1	0	0	0	2	0.80020204219528	0.0012
X640	0	1	0	0	0	2	0.688912091212428	0.0155
X641	1	0	0	0	0	1	0.63593182560435	0.0516
X642	1	0	0	0	0	1	0.514018240891541	0.1874
X643	1	0	0	0	0	1	0.789061987770205	5e-04
X644	1	0	1	0	0	7	0.571424975085109	0.112
X650	1	0	1	0	0	7	0.550435599759339	0.1352
X652	0	0	1	0	0	3	0.793870529526704	0.0049
X656	1	0	0	0	0	1	0.711704641868458	0.0162
X657	1	0	0	0	0	1	0.53982173702415	0.1759
X661	0	1	1	0	1	23	0.661712022413237	0.0337
X662	1	0	0	0	1	9	0.587353825573666	0.0978
X663	1	1	1	0	0	16	0.612909112958486	0.0671
X667	1	0	0	0	0	1	0.673832588053079	0.0292
X670	0	0	1	0	0	3	0.708447893237214	0.0173
X676	1	0	0	0	0	1	0.608125088471242	0.0832
X677	0	1	0	0	1	12	0.872009295040585	0.0017
X686	0	1	0	0	1	12	0.659886868414201	0.0195
X687	0	0	0	0	1	5	0.930075075581859	1e-04
X694	1	0	1	0	0	7	0.674907914073524	0.0273
X695	1	0	0	0	0	1	0.668113043691314	0.0317
X698	1	0	1	0	0	7	0.548755512153128	0.1364
X699	1	0	0	0	0	1	0.779508989957062	0.0026
X710	1	0	1	0	0	7	0.574622608592155	0.1143
X711	0	1	0	0	1	12	0.699339846271518	0.0184
X712	0	1	1	0	1	23	0.40669212163693	0.462
X714	1	0	0	0	0	1	0.557663338369979	0.1175
X716	1	0	0	0	0	1	0.616287468768722	0.0621
X718	1	0	0	0	0	1	0.542154251601779	0.1343
X721	1	0	1	0	0	7	0.640961416938178	0.0458
X723	0	0	0	0	1	5	0.910031963228581	7e-04
X728	0	1	0	0	0	2	0.805460920063551	0.0021
X729	1	1	0	0	0	6	0.536986472193978	0.1665
X730	1	0	0	0	0	1	0.533402947590111	0.1635
X738	1	0	0	0	0	1	0.460203417368548	0.2546
X739	1	0	0	0	0	1	0.539561708562639	0.1454
X745	0	1	0	0	0	2	0.422331641105357	0.3851
X746	0	1	0	0	0	2	0.955514012261405	2e-04
X750	0	1	0	0	0	2	0.939835770832088	9e-04
X751	0	0	1	0	0	3	0.591293050511139	0.0738
X754	1	0	1	0	0	7	0.663301020891775	0.0337
X761	0	0	0	0	1	5	0.945472367955028	6e-04
X763	1	1	0	0	0	6	0.623094710966182	0.0524
X772	1	0	0	0	0	1	0.672292645452814	0.029
X773	0	0	1	1	0	13	0.259913316725622	0.9225
X774	0	0	0	0	1	5	0.960722455797263	1e-04
X777	1	0	0	0	0	1	0.681235438244268	0.024
X778	0	1	0	0	1	12	0.505187324000649	0.1553
X782	1	0	0	0	0	1	0.627688781471864	0.0486
X783	1	0	1	0	0	7	0.568662375909349	0.113
X784	1	0	0	0	0	1	0.657423703838971	0.0365
X787	1	0	1	0	0	7	0.600988049284356	0.0811
X790	0	0	0	0	1	5	0.675346391049294	0.0262
X794	0	1	0	0	1	12	0.915590271675564	0.0013
X795	1	0	1	0	0	7	0.557059409979239	0.1282
X802	0	1	0	0	0	2	0.501173209804063	0.1552
X806	1	0	1	0	0	7	0.510736713726376	0.2163
X808	1	0	0	0	0	1	0.765107194671988	0.0063
X811	1	0	0	0	0	1	0.774412526443388	0.0048
X812	0	1	0	0	1	12	0.93895763303148	2e-04
X813	0	1	0	0	1	12	0.786628855665982	0.0082
X820	0	1	0	0	0	2	0.949982024500478	9e-04
X822	1	0	0	0	0	1	0.703858097764453	0.02
X823	1	0	0	0	0	1	0.728122577329693	0.0134
X826	0	1	0	0	0	2	0.52636532106378	0.1242
X827	0	1	0	0	1	12	0.684011096254261	0.0185
X832	0	0	0	0	1	5	0.974539663526424	7e-04
X841	0	0	0	0	1	5	0.602901910267668	0.0164
X843	0	1	0	0	0	2	0.862975608563042	0.0015
X846	1	0	1	0	0	7	0.49555702166023	0.2492
X848	1	0	1	0	0	7	0.68190825036792	0.0246
X849	1	0	1	0	0	7	0.653396994707046	0.038
X850	1	0	0	0	0	1	0.682778917629794	0.0208
X854	0	1	1	0	0	10	0.778025026405294	0.0091
X855	0	1	0	1	1	24	0.865028252729767	0.0041
X856	0	0	1	0	1	14	0.674591666118509	0.0298
X859	0	1	1	0	0	10	0.695810068219262	0.0127
X861	1	0	1	0	0	7	0.568573532684177	0.116
X862	1	0	0	0	0	1	0.696827862747718	0.0187
X867	1	0	0	0	0	1	0.591956448185357	0.0955
X868	0	1	0	0	0	2	0.953512215920743	4e-04
X869	1	0	0	0	0	1	0.697991574635869	0.0228
X870	0	1	0	0	1	12	0.681759695977496	0.0328
X872	0	1	0	0	0	2	0.790244824077345	0.0061
X882	0	1	0	1	1	24	0.364431318259803	0.6378
X886	0	0	1	0	0	3	0.737256853849233	0.0095
X888	1	0	0	0	0	1	0.651151275329122	0.0418
X890	1	0	1	0	0	7	0.593684361581426	0.0822
X893	1	0	1	0	0	7	0.492220388130886	0.227
