s.Control	s.Blood_D08	s.Faeces_D08	s.Pig_D08	s.Urine_D08	index	stat	p.value
X22	1	0	1	1	0	19	0.773918611162328	0.0027
X46	1	1	1	0	0	16	0.662236119355541	0.0364
X116	1	0	1	0	0	7	0.742144376321326	0.004
X117	1	0	1	0	1	20	0.702189297166326	0.0111
X119	1	0	1	1	0	19	0.836135628050619	1e-04
X120	1	0	1	1	0	19	0.872971635171397	1e-04
X122	1	0	1	1	0	19	0.896468607557032	2e-04
X126	1	0	1	0	0	7	0.679816866644241	0.0276
X131	1	0	1	1	0	19	0.858233105688415	1e-04
X133	1	0	1	1	0	19	0.890743037777434	5e-04
X159	1	0	1	0	0	7	0.838054526524372	2e-04
X169	0	0	1	0	1	14	0.714648300468488	0.0123
X170	0	1	0	0	0	2	0.862601860871264	0.0016
X174	1	0	1	1	0	19	0.710084086064954	0.0087
X183	1	0	1	0	0	7	0.664332957007024	0.0318
X185	1	0	1	1	0	19	0.655848233824832	0.0356
X204	0	0	0	0	1	5	0.794230162984971	0.0024
X244	1	0	1	1	0	19	0.658324883387358	0.0319
X260	0	0	0	0	1	5	0.737799401621082	0.0064
X265	1	1	1	1	0	26	0.637503028819847	0.041
X269	1	0	1	0	0	7	0.736085485654794	0.0054
X295	1	0	1	1	0	19	0.718504172668128	0.0076
X296	0	0	0	0	1	5	0.917466186037436	1e-04
X311	1	0	1	1	0	19	0.649908032009394	0.0415
X326	1	0	1	0	0	7	0.657233330526722	0.0352
X335	1	0	1	0	0	7	0.641779612458743	0.0483
X336	1	0	1	0	0	7	0.753461769008842	0.003
X386	1	0	1	1	0	19	0.679442283401754	0.0215
X405	0	1	0	0	0	2	0.757833877811577	0.0062
X521	0	1	0	0	0	2	0.89636320974565	0.0014
X572	0	1	0	0	1	12	0.864522896668014	0.0017
X615	0	0	0	0	1	5	0.924451394995571	2e-04
X687	0	0	0	0	1	5	0.971407303614536	1e-04
X723	0	0	0	0	1	5	0.81361123696453	9e-04
X761	0	0	0	0	1	5	0.971489815973626	2e-04
X777	1	0	0	0	0	1	0.697252260151026	0.0165
X787	1	0	0	0	0	1	0.65936253868189	0.0258
X811	1	0	1	0	0	7	0.719245771112275	0.0116
X832	0	0	0	1	1	15	0.610723166782074	0.042
X841	0	0	0	0	1	5	0.850722163040042	2e-04
X849	1	0	1	1	0	19	0.703385248015419	0.0108
X928	0	0	0	0	1	5	0.986048027578912	1e-04
X999	0	0	0	0	1	5	0.924112378898326	2e-04
X1105	0	0	0	1	0	4	0.683133436104995	0.0326
X1114	0	1	0	0	0	2	0.681125309227187	0.0311
X1436	0	0	0	0	1	5	0.991378577747306	2e-04
X1549	0	0	0	0	1	5	0.970657796196282	2e-04
X1592	0	0	0	0	1	5	0.900429105070133	1e-04
X1650	0	0	1	1	0	13	0.641150392266398	0.0334
X1926	0	0	0	1	0	4	0.622391091087756	0.0328
X1929	0	0	1	1	0	13	0.609926988622978	0.0401
X2243	0	0	0	0	1	5	0.999088173422129	2e-04
X2738	0	0	1	1	0	13	0.61149145058174	0.0424
X3270	0	0	0	1	0	4	0.657246173399231	0.0326
