s.Control	s.Blood_D21	s.Faeces_D21	s.Pig_D21	s.Urine_D21	index	stat	p.value
X12	1	1	1	0	1	27	0.728785627043057	0.008
X22	1	0	1	0	0	7	0.880835401150725	1e-04
X28	1	1	1	0	0	16	0.855984004452105	1e-04
X29	1	0	1	0	1	20	0.709486000098551	0.0076
X31	1	1	1	0	0	16	0.854188226529684	0.0021
X52	1	0	1	0	0	7	0.696372273135004	0.0115
X59	1	1	1	0	1	27	0.792442815321834	7e-04
X61	1	1	0	0	1	18	0.722798003917072	0.0058
X80	0	1	0	0	1	12	0.867388895245279	0.0024
X81	1	0	1	0	0	7	0.722008403729496	0.0057
X89	1	0	1	0	0	7	0.869032779975883	1e-04
X98	0	1	0	0	1	12	0.865732038937924	0.0021
X109	1	1	1	0	0	16	0.788807462583089	0.0015
X116	1	1	1	0	0	16	0.809911012417845	0.001
X119	1	0	1	0	0	7	0.842289948019679	1e-04
X120	1	0	1	0	0	7	0.925045292181525	1e-04
X122	1	0	1	0	0	7	0.976546668718512	1e-04
X124	1	0	1	0	0	7	0.771833872136018	0.001
X126	1	0	1	0	0	7	0.826812512494154	0.0013
X131	1	0	1	0	0	7	0.785202321116531	0.002
X133	1	0	1	0	0	7	0.976668029431387	1e-04
X140	1	0	1	0	1	20	0.638183412058373	0.0492
X150	0	1	0	0	0	2	0.956468504800537	1e-04
X159	1	0	1	0	0	7	0.897465729907514	1e-04
X170	0	1	0	0	0	2	0.809249548558815	0.0034
X174	1	0	1	0	0	7	0.842574133301136	1e-04
X183	1	0	1	0	0	7	0.801525010708197	7e-04
X185	1	0	1	0	0	7	0.788796614820332	0.0018
X193	0	1	0	0	1	12	0.888574967809959	7e-04
X194	1	0	1	0	0	7	0.663554516615436	0.0328
X198	1	0	1	0	0	7	0.731469407609049	0.0091
X204	0	1	0	0	1	12	0.909626645435876	7e-04
X213	0	1	0	0	0	2	0.861084509072254	0.0024
X244	1	0	1	0	0	7	0.704509473587414	0.0141
X245	0	1	0	0	1	12	0.877323471623069	0.001
X255	1	0	1	0	0	7	0.809169960828399	5e-04
X260	0	1	0	0	1	12	0.940694446906337	2e-04
X265	0	1	0	0	0	2	0.690039663680242	0.0181
X269	1	0	1	0	0	7	0.797236855946746	0.0011
X284	1	0	1	0	0	7	0.859592780724428	1e-04
X285	1	0	1	0	0	7	0.794487068710223	0.0018
X286	1	0	1	0	0	7	0.656386542330343	0.0338
X295	1	0	1	0	0	7	0.831240555321064	1e-04
X296	0	1	0	0	1	12	0.869616239570809	5e-04
X311	1	0	1	0	0	7	0.762364683699872	0.0025
X331	0	1	1	0	0	10	0.664363881762211	0.0236
X335	1	0	1	0	0	7	0.823568449352011	0.0015
X361	0	1	0	0	0	2	0.840227887198931	0.0033
X384	0	1	0	0	0	2	0.937967861754101	5e-04
X388	0	1	0	0	0	2	0.914927247953885	3e-04
X413	1	1	0	0	0	6	0.642532127409576	0.0376
X419	0	1	0	0	1	12	0.933484591716762	4e-04
X420	0	0	0	0	1	5	0.91516701095821	4e-04
X433	0	1	0	0	0	2	0.822384853707532	8e-04
X445	1	0	1	0	1	20	0.686387000224064	0.0232
X447	0	1	0	0	1	12	0.922521111320376	1e-04
X459	0	1	0	0	0	2	0.945473797410955	4e-04
X469	0	1	0	0	1	12	0.888045440293038	0.0017
X521	0	1	0	0	0	2	0.941252011498741	5e-04
X527	0	1	0	0	1	12	0.905927143719756	0.0017
X534	0	1	0	0	0	2	0.912810631878129	5e-04
X545	0	1	0	0	0	2	0.864861515798369	0.0018
X546	0	1	0	0	1	12	0.917882692465852	6e-04
X548	1	0	1	0	0	7	0.727426379553286	0.0064
X553	0	1	0	0	0	2	0.709788258136975	0.0195
X566	0	1	0	0	1	12	0.828457268056477	0.0016
X572	0	0	0	1	1	15	0.618758410918338	0.0385
X598	0	1	0	0	1	12	0.951773990433879	0.0012
X625	0	1	0	0	0	2	0.920086670360074	0.0011
X640	0	1	0	0	0	2	0.853518653461491	0.0019
X677	0	1	0	0	1	12	0.955018482285834	4e-04
X723	0	0	0	0	1	5	0.959043019636509	8e-04
X750	0	1	0	0	0	2	0.86487300752708	0.0023
X761	0	0	0	0	1	5	0.929243901906996	8e-04
X802	0	1	0	0	0	2	0.908728651912143	5e-04
X811	1	0	1	0	0	7	0.709587587427312	0.0151
X820	0	1	0	0	0	2	0.974890599690124	5e-04
X832	0	0	0	0	1	5	0.983147862529181	8e-04
X841	0	0	0	0	1	5	0.766231999356377	6e-04
X843	0	1	0	0	0	2	0.924568866066901	5e-04
X868	0	1	0	0	1	12	0.798044794954651	0.0032
X870	0	1	0	0	1	12	0.881439081975523	9e-04
X872	0	1	0	0	0	2	0.998256924512923	5e-04
X886	0	0	0	0	1	5	0.647375185180643	0.0355
X938	1	0	1	0	0	7	0.747595708052689	0.0065
X954	1	1	0	0	0	6	0.695029794018138	0.0208
X971	0	0	0	0	1	5	0.640895336296827	0.0365
X1015	0	1	0	0	0	2	0.930896339158695	5e-04
X1045	0	1	0	0	1	12	0.751093394339694	0.009
X1047	0	1	0	0	0	2	0.978472732108257	3e-04
X1069	0	0	1	0	0	3	0.769784518323644	0.0063
X1088	0	1	0	0	1	12	0.846792474090064	0.0019
X1098	0	1	0	0	0	2	0.891169885159681	0.001
X1105	0	0	0	1	0	4	0.992932773634624	6e-04
X1108	0	0	1	0	0	3	0.94546830009987	3e-04
X1389	0	1	0	0	1	12	0.915907919626618	7e-04
X1411	0	1	0	0	0	2	0.993251839089752	4e-04
X1433	0	1	0	0	0	2	0.90557017224482	6e-04
X1636	0	0	0	0	1	5	0.914597623216039	8e-04
X2038	0	0	0	0	1	5	0.988624613381478	8e-04
