s.Control	s.Blood_D64	s.Faeces_D64	s.Pig_D64	s.Urine_D64	index	stat	p.value
X12	1	1	0	0	0	6	0.67430018727838	0.0276
X22	1	0	1	0	0	7	0.853958331990009	9e-04
X28	1	0	1	0	0	7	0.768863750861788	0.007
X29	1	1	0	0	1	18	0.729148279116691	0.0069
X38	1	1	1	0	0	16	0.770444100624219	0.0063
X80	0	1	0	0	1	12	0.834153600585214	0.0035
X89	1	0	1	0	0	7	0.8235315270205	3e-04
X98	0	1	0	1	1	24	0.850201458349846	0.0031
X100	1	0	1	0	0	7	0.854767534415241	2e-04
X113	1	1	0	0	0	6	0.657867175786989	0.0395
X116	1	1	1	0	0	16	0.724500715893881	0.0073
X118	1	1	0	0	0	6	0.764305625712421	0.0042
X119	1	0	1	0	0	7	0.84194425413312	2e-04
X120	1	0	1	0	0	7	0.918486508577545	2e-04
X122	1	0	1	0	0	7	0.821767200513667	0.0017
X126	1	0	1	0	0	7	0.817831355668678	0.0011
X127	0	1	0	0	0	2	0.675212267396279	0.0252
X133	1	0	1	0	0	7	0.897984909953591	3e-04
X150	0	1	0	0	0	2	0.742145669969049	0.007
X170	0	1	0	0	0	2	0.890569437300927	9e-04
X174	1	0	1	0	0	7	0.843628834243878	1e-04
X185	1	1	1	0	0	16	0.747459298529156	0.0058
X193	0	1	0	1	1	24	0.896924314739217	9e-04
X198	1	1	1	0	0	16	0.645815670515357	0.0425
X204	0	1	0	0	1	12	0.9347499088952	5e-04
X213	0	1	0	0	0	2	0.686896674587463	0.0208
X245	0	1	0	0	1	12	0.828911190994808	0.003
X255	1	1	0	0	0	6	0.65587201968597	0.0341
X260	0	0	0	0	1	5	0.696836236330711	0.0167
X269	1	0	1	0	0	7	0.661493011813875	0.0359
X284	1	0	1	0	0	7	0.780765960117302	0.0014
X285	1	0	1	0	0	7	0.667560526318025	0.0265
X286	1	1	0	0	1	18	0.684963393024232	0.0182
X296	0	0	0	0	1	5	0.903168209513772	7e-04
X336	1	0	1	0	0	7	0.716917163397208	0.0088
X349	0	1	0	0	1	12	0.89307294461737	0.0014
X361	0	1	0	0	0	2	0.849263808867729	0.0023
X384	0	1	0	0	0	2	0.948146487312628	1e-04
X408	1	0	1	0	0	7	0.809371755656264	5e-04
X419	0	1	0	0	1	12	0.872678769258493	0.0018
X433	0	1	0	0	0	2	0.784913761527101	0.0012
X438	0	1	1	0	0	10	0.647664688436162	0.0448
X459	0	1	0	0	0	2	0.912802609385645	3e-04
X469	0	1	0	0	0	2	0.809404610457305	0.0044
X495	0	1	0	0	1	12	0.71389831152215	0.0178
X497	0	0	0	0	1	5	0.917200427050679	0.0011
X521	0	1	0	0	0	2	0.970961528525485	1e-04
