s.Control	s.Blood_D98	s.Faeces_D98	s.Pig_D98	s.Urine_D98	index	stat	p.value
X1088	0	1	0	0	1	12	0.869185371919033	0.0013
X1105	0	0	0	1	0	4	0.967010490955236	4e-04
X1108	0	0	1	0	0	3	0.949936345749692	6e-04
X1144	1	0	0	0	0	1	0.679627666030585	0.0264
X1174	0	0	0	1	0	4	0.62608650191018	0.0499
X1215	0	1	0	0	1	12	0.944031284254914	0.0012
X1266	0	1	0	0	0	2	0.780034578858829	0.0018
X1298	0	0	0	0	1	5	0.65683312197077	0.036
X1328	0	0	0	0	1	5	0.985900371136141	1e-04
X1347	0	1	0	0	1	12	0.717659276270442	0.0187
X1348	0	1	0	0	1	12	0.68025200313922	0.0298
X1411	0	1	0	0	0	2	0.875048760835612	4e-04
X1511	0	1	0	0	1	12	0.69849930199762	0.02
X1583	0	1	0	0	0	2	0.818756088494365	0.0019
X1635	0	0	1	0	1	14	0.774030107923565	0.004
X1715	0	1	0	0	1	12	0.790772331610883	0.002
X1728	0	0	0	0	1	5	0.803844274705069	0.0013
X1754	0	1	0	0	0	2	0.976850505449651	4e-04
X1812	0	1	0	0	1	12	0.705564677703665	0.0215
X1820	0	0	1	0	1	14	0.789172614850854	0.0026
X1821	0	0	1	0	1	14	0.863191091583904	0.0026
X1911	0	1	0	0	1	12	0.741857577016507	0.0075
X1912	0	1	0	0	1	12	0.789051488660468	0.0016
X1915	0	1	0	0	1	12	0.629836657297773	0.0306
X2037	0	1	0	0	1	12	0.88182827212911	0.0021
X2170	0	0	0	1	1	15	0.599441151987039	0.0412
X2198	0	1	0	0	1	12	0.611843022234942	0.0371
X2560	0	0	1	0	0	3	0.931138891077829	6e-04
X2910	0	0	1	0	0	3	0.99551078346232	6e-04
X2952	0	0	0	1	1	15	0.556753961086543	0.039
X2956	0	0	1	0	0	3	0.915337872471597	6e-04
X2962	0	0	1	0	0	3	0.983738753675929	6e-04
X3160	0	0	1	0	0	3	0.994107196777039	6e-04
X3172	0	0	0	1	0	4	0.590044920265766	0.0383
X3211	0	1	0	0	0	2	0.653584689013932	0.0353
X3236	0	0	1	0	0	3	0.922359077939127	6e-04
X3993	0	1	0	0	0	2	0.998872004410798	4e-04
