s.Control	s.Blood_D15	s.Faeces_D15	s.Pig_D15	s.Urine_D15	index	stat	p.value
X497	0	0	0	0	1	5	0.706186981781491	0.0243
X521	0	1	0	0	0	2	0.825697486607132	0.0055
X534	0	1	0	0	0	2	0.856446993829665	0.0052
X545	0	1	0	0	0	2	0.905188818120457	0.0031
X548	1	0	1	0	0	7	0.843212052791	2e-04
X572	0	0	0	0	1	5	0.778229563199462	0.0075
X573	1	0	1	0	0	7	0.694703735295674	0.0279
X597	0	1	0	0	0	2	0.821242745623933	0.0065
X615	0	0	0	0	1	5	0.882864956537916	0.0011
X625	0	1	0	0	0	2	0.920455983835457	0.0039
X640	0	1	0	0	0	2	0.835266570017568	0.0039
X643	1	0	1	0	0	7	0.76314697501583	0.0054
X658	0	1	0	0	0	2	0.813163104949411	0.0078
X686	0	0	0	0	1	5	0.757104310603811	0.0129
X687	0	0	0	0	1	5	0.970720334002772	6e-04
X698	1	0	1	0	0	7	0.713668724716588	0.0342
X723	0	0	0	1	1	15	0.911031709757531	0.0038
X728	0	1	0	0	0	2	0.78769279332023	0.0055
X750	0	1	0	0	0	2	0.878342075787833	0.0061
X761	0	0	0	0	1	5	0.876316268240933	0.0052
X763	1	1	1	0	0	16	0.681123175548093	0.0329
X777	1	0	1	0	0	7	0.680136778423869	0.0393
X787	1	0	1	0	0	7	0.740472008547372	0.0116
X790	0	0	0	0	1	5	0.670457306075583	0.0494
X802	0	1	0	0	0	2	0.69735161027293	0.0306
X811	1	0	1	0	0	7	0.82067154060078	0.0026
X812	0	0	0	0	1	5	0.948362626090998	0.0011
X820	0	1	0	0	0	2	0.774666101438614	0.0057
X832	0	0	0	0	1	5	0.995774725866871	2e-04
X841	0	0	0	0	1	5	0.672262322405316	0.0117
X843	0	1	0	0	0	2	0.884126571368953	0.0023
X849	1	0	1	1	0	19	0.672380481380008	0.0416
X868	0	1	0	0	0	2	0.982664360391908	2e-04
X870	0	1	0	0	1	12	0.687026029453294	0.031
X882	0	0	0	0	1	5	0.666328747752249	0.0496
X920	1	0	1	0	0	7	0.71638168188807	0.0254
X924	0	0	0	0	1	5	0.7877734387907	0.005
X927	0	1	0	0	1	12	0.692171715936052	0.0306
X928	0	0	0	0	1	5	0.993632418517088	1e-04
X938	1	0	1	0	0	7	0.821204853443595	0.0028
X999	0	0	0	1	1	15	0.857223283846119	0.0054
X1009	0	1	0	0	1	12	0.821098123039856	0.0112
X1012	0	0	0	0	1	5	0.842328274114751	0.0017
X1098	0	1	0	0	0	2	0.961298554039077	0.0013
X1105	0	0	0	1	0	4	0.973710400630322	0.0015
X1114	0	1	0	0	0	2	0.933148879472485	0.0014
X1266	0	1	0	0	0	2	0.908922187316801	0.0015
X1328	0	0	0	0	1	5	0.976973460135226	6e-04
X1342	0	1	0	0	0	2	0.672326243434344	0.0229
X1517	1	0	1	0	0	7	0.684831585490683	0.0405
X1549	0	0	0	1	1	15	0.783141163469699	0.0062
X1592	0	0	0	0	1	5	0.996615458906681	2e-04
X1650	0	0	0	1	0	4	0.924094711072327	0.0015
X1705	1	0	1	0	0	7	0.783760916144671	0.0043
X1721	0	1	0	0	0	2	0.921582101494419	0.0014
X1772	0	0	0	0	1	5	0.781800213121543	0.0124
X1804	0	0	0	0	1	5	0.781550980032979	0.0124
X1929	0	0	0	1	0	4	0.915167331143076	0.0015
X2009	0	0	0	0	1	5	0.76696498884737	0.0128
X2038	0	0	0	0	1	5	0.860531165288035	0.0013
X2243	0	0	0	0	1	5	0.892707373356838	0.0013
X2403	0	1	0	1	0	11	0.64826688514562	0.0304
X2738	0	0	0	1	0	4	0.860552688039341	0.0015
X2801	0	1	0	0	0	2	0.722705084369748	0.0379
