s.Control	s.Blood_D15	s.Faeces_D15	s.Pig_D15	s.Urine_D15	index	stat	p.value
X22	1	0	1	0	0	7	0.940388162884585	1e-04
X28	1	1	1	1	0	26	0.740191715769957	0.0087
X52	1	0	1	0	0	7	0.677073053722923	0.0345
X80	0	1	0	0	1	12	0.95939030144048	1e-04
X89	1	0	1	0	0	7	0.744561039664171	0.0092
X98	0	1	0	0	1	12	0.968875897163957	1e-04
X116	1	0	1	0	0	7	0.749644503107522	0.0075
X119	1	0	1	0	0	7	0.851593251617855	1e-04
X120	1	0	1	0	0	7	0.926871815595281	1e-04
X122	1	0	1	0	0	7	0.975667454870598	1e-04
X126	1	0	1	0	0	7	0.876973321908556	1e-04
X131	1	1	1	0	0	16	0.809733422625559	0.0021
X133	1	0	1	0	0	7	0.898246719516276	3e-04
X143	1	0	1	0	1	20	0.746497349772849	0.0108
X145	1	0	1	0	1	20	0.704360725060499	0.025
X159	1	0	1	0	0	7	0.907637987766118	1e-04
X170	0	1	0	0	0	2	0.839755203072967	0.0069
X174	1	0	1	0	0	7	0.879019991271723	1e-04
X183	1	0	1	0	0	7	0.800049890002386	0.0017
X185	1	0	1	0	0	7	0.751473749143332	0.011
X186	1	0	1	0	0	7	0.860942062503362	1e-04
X193	0	1	0	0	1	12	0.855594124897141	0.0059
X194	1	0	1	0	0	7	0.847885070118369	1e-04
X198	1	0	1	0	1	20	0.69119733813505	0.0295
X204	0	1	0	0	1	12	0.955883406370963	2e-04
X213	0	1	0	1	1	24	0.738415682149309	0.0267
X244	1	0	1	0	0	7	0.895557843020785	1e-04
X245	0	1	0	0	1	12	0.885527912679293	0.0031
X260	0	1	0	0	1	12	0.819193673950369	0.0069
X265	0	1	0	0	0	2	0.757114008467591	0.0092
X269	1	0	1	0	0	7	0.752766037874158	0.0084
X270	1	0	1	0	1	20	0.697793920094075	0.0302
X284	1	0	1	0	0	7	0.865833968424885	1e-04
X286	1	0	1	0	1	20	0.831204496450494	2e-04
X295	1	0	1	0	0	7	0.811728346228942	0.0013
X296	0	0	0	0	1	5	0.867330263160726	0.0027
X311	1	0	1	0	0	7	0.846438547618684	1e-04
X316	1	0	0	1	1	21	0.687717825410567	0.0265
X331	0	1	1	0	0	10	0.756874313568339	0.0104
X335	1	0	1	0	0	7	0.762651452989607	0.0136
X336	1	0	1	0	0	7	0.798601136094788	0.001
X356	1	0	0	0	0	1	0.671546551359026	0.0425
X361	0	1	0	0	0	2	0.962260972349106	1e-04
X384	0	1	0	0	0	2	0.873641488365155	0.0065
X386	1	0	1	0	0	7	0.712669973575946	0.0157
X405	0	1	1	0	1	23	0.685660868091685	0.037
X408	1	0	1	0	0	7	0.815936780894981	0.0012
X413	1	0	0	0	0	1	0.672049101759278	0.043
X419	0	1	0	0	1	12	0.816942239337731	0.0111
X420	0	0	0	0	1	5	0.814658214631952	0.005
X427	1	0	1	0	0	7	0.747143147660945	0.0123
X433	0	1	0	0	0	2	0.710094722104401	0.0188
X440	1	0	1	0	0	7	0.686297069047775	0.0451
X459	0	1	0	0	0	2	0.935837904080385	0.002
X484	1	0	1	0	0	7	0.815867241014377	7e-04
